-0,74.96,89.97,1.01,9.59
-0,81.2,84,1.01,2.4
-0,79.64,81.78,1.01,1.01
-0,77.76,82.23,1.01,1.08
-0,82.65,76.32,1.01,5.77
-0,75.99,68.6,1.01,16.35
-0,81.95,58.49,1.01,35.95
-0,79.65,44.32,1.01,46.63
-0,77.5,45.12,1.01,65.83
-0,81.67,52.33,1.01,61.65
-0,79.75,53.51,1.01,59.31
-0,76.85,52.68,1.01,54.21
-0,83.31,47.69,1.01,38.94
-0,77.28,37.9,1.01,20.28
-0,79.85,32.66,1.01,6.74
-0,75.55,41.21,1.01,1.31
-0,68.8,42.5,1.01,1.23
-0,59.18,41.48,1.01,3.31
-0,47.78,39.68,1.01,7.78
-0,54.44,36.31,1.01,18.06
-0,44.2,30.16,1.01,40.93
-0,34.89,16.74,1.01,65.74
-0,40.09,26.03,1.09,61.74
-0,33.19,30.36,3.15,58.89
-0,28.7,31.78,12.42,47.91
-0,19.7,31.69,28.64,28.39
-0,24.98,31.2,56.77,11.62
-0,34.32,30.32,77.23,3.39
-0,35.96,28.76,84.59,1.01
-0,20.45,26.77,82.34,1.01
-0,26.37,24.34,79.32,2.26
-0,16.52,20.5,76.19,9.66
-0,21.87,13.5,77.67,20.91
-0,15.16,2.49,75.34,47.42
-0,22.49,7.72,72.08,66.73
-0,29.56,13.29,64.9,64.18
-0,22.05,16.49,61.43,60.72
-0,32.1,18.12,63.74,57.72
-0,39.09,18.61,53.51,54.09
-0,54.55,18.52,52.34,51.59
-0,79.21,18.08,50.84,50.62
-0,74.26,17.07,50.28,47.09
-0,79.2,15.69,42.66,47.19
-0,80.95,14.24,31.28,47.32
-0,75.36,12.25,34.7,32.9
-0,81.06,8.42,35.59,29.04
-0,76.72,2.73,33.81,47.94
-0,74.54,1.01,30.6,65.76
-0,82.17,1.01,24.45,61.43
-0,74.17,1.01,14.71,58.72
-0,71.87,1.01,5.88,48.44
-0,74.21,1.01,14.57,23.75
-0,69.97,1.01,17.14,9.23
-0,74.15,1.48,17.41,1.95
-0,77.26,1.85,16.96,1.03
-0,76.76,3.16,15.93,1.71
-0,79.4,4.66,14.09,8.75
-0,78.2,2.85,11.47,18.47
-0,77.85,1.03,8.02,33.32
-0,78.95,1.1,2.46,45.65
-0,77.96,3.78,1.01,65.24
-0,78.58,9.07,1.01,61.34
-0,75.48,15.07,1.02,58.41
-0,79.57,40.39,2.17,54.51
-0,71.84,69.48,4.02,39.16
-0,72.91,90.69,4.68,21.21
-0,74.64,83.39,4.36,7.5
-0,75.59,81.35,4.05,1.62
-0,72.83,82.27,3.91,1.02
-0,75.5,76.37,3.29,2.11
-0,74.76,71.63,1.56,9.05
-0,75.85,58.19,1.01,19.31
-0,77.27,43.94,1.01,38.14
-0,73.77,44.92,1.01,66.47
-0,72.33,51.34,1.01,63.87
-0,74.77,53.09,5.12,60.95
-0,76.82,52.41,12.35,56.28
-0,72.43,47.83,22.88,53.5
-0,66.92,38.59,58.77,51.32
-0,75.23,31.6,75.46,49.62
-0,69.28,41.19,85.17,46.99
-0,63.98,43.41,82.91,46.57
-0,65.78,42.59,80.21,47.01
-0,56.97,41.28,76.12,33.49
-0,51.5,37.61,78.22,22.81
-0,47.27,31.98,74.61,41.15
-0,48.91,16.9,72.89,66.39
-0,36.77,26.03,65.36,61.38
-0,54.49,31.16,62.38,58.52
-0,55.46,32.27,62.43,55.43
-0,53.67,32.33,54.27,39.91
-0,66.8,31.46,53.55,17.37
-0,81.33,30.29,52.48,6.7
-0,85.99,28.61,49.81,1.39
-0,83.76,26.48,43.43,1.48
-0,84.91,23.62,27.39,5.36
-0,84.7,20.09,33.7,13.51
-0,84.45,13.78,34.26,23.25
-0,84.28,3.13,32.42,46.16
-0,83.96,5.97,29.2,65.97
-0,83.75,14.19,23.69,61.81
-0,83.59,26.09,14.82,59.38
-0,83.45,31.41,4.15,50.6
-0,83.34,63.9,12.35,28.21
-0,82.98,91.19,15.48,11.88
-0,77.07,83.97,16.2,3.4
-0,60.36,81.49,15.71,1.02
-0,57.03,82.04,14.42,1.02
-0,54.54,77.12,12.62,3.73
-0,57.3,72.29,10.43,12.71
-0,43.53,58.4,6.69,30.22
-0,40.66,45.17,1.83,45.13
-0,51.46,44.39,1.01,67.56
-0,49.5,51.58,1.01,63.35
-0,60.47,53.87,1.01,61.36
-0,53.14,53.13,1.4,58.29
-0,60.97,49.35,3.27,54.63
-0,81.52,39.94,3.58,51.56
-0,83.01,29.68,3.22,49.84
-0,83.39,42.69,2.91,47.52
-0,83.62,44.52,2.18,47.14
-0,83.5,44.73,1.03,47.31
-0,83.24,42.82,1.01,34.14
-0,82.92,39.8,1.01,29.42
-0,82.84,32.97,1.01,37.98
-0,82.69,18.46,1.01,67.58
